Key	EN	FR
save-next	save and go to next	sauvegarder et passer au suivant
save	save	sauvegarder
impossible	impossible	impossible
unlikely	unlikely	improbable
acceptable	acceptable	acceptable
quite-realistic	quite realistic	plutôt réaliste
fully-realistic	fully realistic	complétement réaliste
died-after	patient <strong>died</strong> after	patient <strong>mort</strong> après
still-alive	Patient <strong>still alive</strong> after 4h	Patient <strong>toujours en vie</strong> après 4h
clinical-params	Clinical Parameters	Paramètres Cliniques
physio-params	Physiological Parameters	Paramètres Physiologique
comments	comments	commentaires
