Key (DONT EDIT)	EN 	FR
recoveryPosition	Recovery position	Position de récupération 
measureRR	Respiratory Rate	Fréquence respiratoire 
measureHR	Heart Rate	Fréquence cardiaque 
measureCRT	CRT	TRC
measureGCS	GCS	Glasgow 
canYouWalk	Can you walk?	Pouvez-vous marcher?
sitDown	Sit Down	Asseyez-vous
proneDecubitus	Prone decubitus	Decubitus dorsal 
supineDecubitus	Supine decubitus	Decubitus ventral 
getUp	Get Up	Levez-vous 
areYouDead?	Are you dead?	Êtes-vous mort?
openAirways	Open airways	LVAS
measureMotricity	Limbs motricity	Motricité des membres
painLevel	Pain level?	Niveau de douleur ?
