Key (DONT EDIT)	EN 	FR
guedel	Guedel	Guedel
wendel	Wendel	Wendel
igel	I-Gel	I-Gel
mask	Mask	Masque 
balloon	Balloon	Ballon de ventilation 
intubate	intubate	Intubé 
cricotomie	Cricotomie	Cricotomie
3side	3 sided dressing	Pansement 3 côtés 
exsufflation	Exsufflation	Exsufflation 
thoracic_drain	Thoracic Drainage	Drainage thoracique 
cat	CAT	Cathéter artériel 
bandage	Bandage	Pansement 
israeliBandage	Israeli Bandage	Pansement compressif
TranexamicAcid_500	Tranexamic Acid 500mg	Acide tranexamique 500mg
SalineSolution_1l	NaCl 0.9% 1L	NaCl 0.9% 1L
SalineSolution_100ml	NaCl 0.9% 100mL	NaCl 0.9% 100mL
Blood_1l	Blood 1L	Sang 1L
oxymeter	Pulse Oxymeter	Saturomètre
sphygmomanometer	Blood Pressure gauge	Sphygmomanomètre
banane_pre		banane pré-tri
blue_bag		sac bleu
empty_bag		
nox_bag		
red_bag		sac rouge
