Key (DONT EDIT)	EN 	FR
Hemorrhage	Hemorrhage	hémorragie
Fracture	fracture	fracture
Tamponade	tamponade	tamponnade
Pneumothorax	pneumothorax	pneumothorax
Blood	bleeding	Saignement 
AirwaysResistance	airways resistance	résistance dans les voies aériennes
Burn	burn	brûlures
Degree	degree	degré
ICP	Intracranial pressure	pression intracrânienne
NervousSystem	nervous system damage	lésions nerveuse
Arterial	Arterial	Artérielle
Venous	Venous	Veineuse
Venous Catheter	Venous Catheter	Cathéter veineux (VVP)
current flow	current flow	Flux instantané
Hemostasis	Hemostasis	Hémostase 
Venous Catheter	Venous Catheter	VVP
drain	drain	Drain 
Drained	Drained	Drainé 
Intubated	Intubated	Intubé  
Obstruction	Obstruction	Obstruction 
Positive Pressure	Positive Pressure	Pression positive 
Hemostasis	Hemostasis	Hémostase 
Upper Airways	Upper Airways	Voie aérienne haute 
Surface	Surface	Surface 
aborted	aborted	arrêté
fracture-displaced	displaced	Déplacée
fracture-nonDisplaced	non-displaced	Non déplacée
fracture-open	open	ouverte
Total	Total	Total
surface	surface	surface 
hematoma	hematoma	hématome
notIntubated	not intubated	pas intubé
cyanosis	cyanosis	cyanose
palor	palor	pâle
normal	normal	normale
