Key	EN	FR
time	Time	Temps
set-time	Set	Fixer à
add-time	Add	Ajouter
hour-long	Hour(s)	Heure(s)
hour-short	H(s)	H(s)
minute-long	Minute(s)	Minute(s)
minute-short	Min(s)	Min(s)
attention-please	The chosen time has to be later than the most advanced team at {0}.	L'heure choisie doit être ultérieure à l'équipe la plus avancée {0}.
all-teams	All Teams	Toutes les équipes
radio-message	Radio message	Message radio
state	State	État
roles	Roles	Rôles
impacts	Impacts	Impacts
locations	Locations	Emplacements
spy	Spy	Espionner
teams	Team(s)	Équipe(s)
methane	Methane	Methane
play	Play	Play
pause	Pause	Pause
radio-notif	Radio  Notif	Radio  Notif
radio-notif-placeholder	Type your message here	Écrivez votre message ici
invalidTime	The target time has to be after {0} and before {1}.	Temps incorrect: doit se situer après {0} et avant {1}.
pause-modal-title	The game is paused	Le jeu est en pause
pause-modal-text	The trainer has paused the game.	Le formateur a mis la partie en pause.
update	Update	Mettre à jour
