Key (DONT EDIT)	EN	FR	Remarks
start	start	commencer	
explanation-text	You have to perform pretriage on simulated patients. Use the central interface to evaluate their condition	Vous devez prétrier les patients suivants. Utilisez l'interface centrale pour les évaluer	To be defined
details	details	détails	
console	console	console	
face	face	faciès	
coloration	skin coloration	coloration cutanée	
measures	measures	mesures	
treatment	action	action	
treatments	actions	actions	
triage	triage	triage	
assignTriage	assign triage category	assigner catégorie de triage	
go to	go to	envoyer au	
PMA	PMA	PMA	
validate	validate	valider	
suggested-answer	suggested answer	réponse suggérée	
patient-set	patient set	set de patients	
patient-set-selection	patient set selection	sélection du set de patients	
show	show	voir	
view	view	voir	
list	list	liste	
patientCategorized	patient categorized	patient catégorisé	
validate	validate	valider	
backToSummary	back to summary	retourner au récapitulatif	
startPauseSimulation	Start / Pause simulation	Reprendre / Mettre en pause	
finish	finish	terminer	
itemMissing	You don't have any	Vous n'avez pas de	
skillMissing	You don't know how to measure	Vous ne savez pas mesurer	
title	drill pretri	Drill pré-tri	
category-system	Category system	Système de catégorisation	
setup-title	Game session set up	Configuration de la partie de jeu	
drill-type	drill type	type de drill	
bag-type	bag type	type de sac	
skills	skills	compétences	
doMeasure	Do measure	mesurer	
pleaseSelectBlock	Please select a body part in the right panel	Sélectionnez une partie du corps dans l'interface à droite	
bodyPart	body part	partie du corps	
apply	apply	appliquer	
correction	correction	correction	
given-answer	given answer	réponse donnée	
review-patient	review patient	revoir patient	
patient-id	patient id	ID du patient	
nb-patients-correct	patient(s) correctly categorized	patient(s) correctement catégorisés	
review	review	review	
all	all	tous	
show-correction	show correction	voir correction	
next-patient	next patient	patient suivant	
You don't know how to do this	You don't know how to do this	Vous ne savez pas effectuer	
cancel	cancel	annulation	
start	start	démarrer	
result	result	résultat	
thankyou-playing	Thank you for playing!	Merci d'avoir joué!	
gameSessionSetup	Setup	Configuration	
paused-game	The game is paused. Please wait for the trainer to start the game.	Le jeu est en pause. Veuillez attendre que le formateur lance la partie. 	
unmeasurable	unmeasurable	non-mesurable	
pendingAction	pending action	Action en cours	
still	still	encore	
secToWait	seconds	secondes	
tooLateToCancel	too late to cancel	trop tard pour annuler	
